claim_s,fake_flag
كيف تنتقل عدوى #فيروس_كورونا (#كوفيد_19)؟ وما هي أعراض الإصابة به؟ وكيف يمكن الوقاية منه؟ #قطر #COVID19 LINK,0
"RT @USER مالحل الأنسب ""بوجهة نظركم"" للمدارس والجامعات بما يخص فايروس #كورونا ؟",0
انا اطالب بتجنب القبله بسبب انتشار فايروس كورونا👀,0
ذهبت لإيران من اجل العلاج هي وابنائها واحفادها برغم قطع العلاقه بين البلدين ! فتخلت عنهم ايران بـ ازمة #كورونا فستنجدت بآل سعود لعلاجهم وتوفير لهم الرعاية الصحيه والسكنيه حتى يعودون لإرض الوطن !؟ LINK,0
"اطلب من #هنقرستيشن بهذا الرمز الترويجي:6WJW3Z وكوبون: صفر يجيك ٥٠ في وتوصيل مجاني ""لطلبك الاول فقط او سجل برقم جديد #ام_فقدت_4_ابناء #الكمامات #المدينة_المنورة #مليون_ريال #ساعات_الفيصل #طلال_مداح #السمنه_أخطر_من_كورونا #اقعدو_ببيوتكم_لحد_يجي #متطوع_صحي_مستعد #حظر_تجول",1
سقوط احد المعممين في مدينة كربلاء العراقية اليوم صباحا في شارع باب قبلة العباس بسبب اصابته بفايروس كورونا.  ان شاء الله المعممين يسقطون واحد وراء الاخر .  هذه (حوبة) البنات التي مارستوا زواج المتعة معهن .. حوبة النساء المحتاجات التي ساومتهن على شرفهن مقابل اشباع جوع اطفالهن. LINK,1
#اسقاط_القروض_لليوم_460 حاليآ النفط انخفض ال30% السؤال لتجار الفقر ! هل ستنخفض الاسعار وتقولون الدنيا مافيها خير ونحن في ازمة ومرض كورونا وماراح تفيدنا الفلوس وتجارتنا بالآخرة  او راح تستمر زيادة الاسعار,0
اقوي كود يشمل كل طلباتك 💪😍 اشتري اونلاين وتجنب فيروس كورونا✋💎 💙كود خصم نسناس star4 🎁 coupons noon Suadi arabia نصر الاهلي الهلال الاتحاد جده الحب توفير سنتر تخفيض عروض كوبون الهلال قطر الإمارات الرياض🇸🇦,1
العالم مشغول بكورونا حتى الأعداء يرسلون لبعضهم مساعدات أما فى مصر ما زال الاخوان يحرضون على بلدهم ينشرون الأكاذيب يتمنون نشر الوباء فى البلد يكذبون و يفترون و يحرضون الحيوانات أشرف و أطهر من الاخوان #فيروس_كورونا,1
زي دلوقتي كان زمان السيتي دايس على وش زيدان وخيسوس جايب هدفين ف ربع ساعة فلتوا مننا بسبب كورونا @USER LINK,1
صلاح الدين تدخل على خط كورونا وتعلن تطوراًLINK,0
@USER @USER انتم ظلاااام والله ظلاااام ثلاث انذارات بظلم الله لايبارك فيكم ولا في 2000 حقتكم الله يغنيننا عنكم يارب ، كيف اتواصل معكم وانتم بااجازه بسبب كورونا عساه يقضي على الفاسدين,1
د. عايد المناع : يجب على قطر أن تعلم بأن الإبتعاد عن محيطها الخليجي لن ينفعها . LINK   #كورونا,0
RT @USER #عاجل.. #الصحة تعلن تسجيل 24 حالة إصابة جديدة بفيروس #كورونا. .,0
ﻻ أخشى من الأوبئة موت الأبدان؛ فالموت بحوادث السيارات أضعافه إنما أخشى موت القلوب ﴿ولقد أخذناهم بالعذاب فما استكانوا لربهم وما يتضرعون﴾ ـ #كورونا ـ #إعادة_نشر,0
لماذا يعمل الصابون بشكل جيد على معظم الفيروسات بما فيها ( السارس و كورونا بسلالاته ) مقدمة : الفايروس عبارة عن جسيمات نانوية تتجمع ذاتيا بصلات بينها، أضعف حلقة اتصال بين الجسيمات هي *الدهون ثنائية الطبقة. (سلسلة تغريدات من جزأين عن الصابون والفيروسات والكيمياء فوق الجزيئية) LINK,0
RT @USER #برهم_كورونا_امريكا يريد بيئة مناسبة حتى ينتشر ومثل هكذا بيئة  لا تتحقق الا مع  الزرفي واشباهه,1
وكالة الأنباء الإيرانية حصيلة التسمم اثر تناول مشروبات كحولية فاسدة في محافظة #خوزستان جنوب غرب ايران هي وفاة 36 شخصا من اصل 425 حالة تسمم على وقع شائعات للوقاية من #كورونا الله ينتقم منك ماجد سليم ورطت الاهوازيين ودمرتهم 🤦🏻,0
ردا على المشككين واللذين يقولون إنه لن تنفعك صلاتك أو دعائك من إصابتك بوباء هذا العصر #فيروس_كورونا .. إستغفر الله العظيم وأتوب اليه 🙏 LINK,0
اللهم أرزق كل من أعاد تغريدها وسمعها خيراً كثيراً ورزقاً كبيراً من حيث لا يحتسب واجعلها مخرجا له من كل ضيق #خاطفهالدمام #ابرار_الزهراني #انشر_تغريده_حلوه #فيروس_كورونا LINK,0
خلو هذا الدعاء يلف البلاداليوم  اللهم اني استودعتك بلادي وأهلها كبارها وصغارها رجالها ونسائها شبابها وبناتها أرضها وسماءها فأحفظها ربي من اﻷمراض واﻷوبئة وأرفع البلاء يارب ادفع عنا فايروس كورونا بحولك وقوتك فإنه لاحول لنا ولاقوة إلا بك..فالله خير حافظاًً وهو أرحم الراحمين,0
جدعان والله #كورونا LINK,0
عدد حالات كورونا 511 عتيبه : LINK,0
"#انثبروا_ببيوتكم للأسف التطمينات ""بحجة عدم نشر الرعب "" والإستهتار بخطورة وفتك الفايروس جعل الكثيرين يستهترون بوسائل الوقاية . الخروج من المنزل يجب أن لايكون إلا للضرورة  لانريد أن تتكرر في بلدنا مآسي حدثت في دول أخرى ونفقد أحبائنا .. كورونا ليس أنفلونزا",0
وصلت إلى مطار العاصمة اليمنية المؤقتة #عدن، الاثنين، طائرة سعودية تحمل على متنها إمدادات طبية للمساعدة في مواجهة فيروس #كورونا. LINK #العربية,0
RT @USER لو واحد مصاب بـ #كورونا وعطاك هذي بتآخذها ؟!😂 LINK,0
"بكـــره علموّا أحفادكــم أن في أزمة #فايروس_كورونا | 🦠 "" #السعودية | 🇸🇦 باعت كل شي وشرتنا "" #الحرس_الوطني | ♥️ #حور_الجنوب | 📮 LINK",0
احنا وينا عن العزل من زمان حيل مرتاحين بدون مقابل الوجيه الي تقطع الرزق والعذر بالجيب ( كورونا ),0
RT @USER مطلوب صديق ما يسولف عن كورونا,0
@USER @USER اذا جاك كورونا تعرف وين تحط الحمى بطىزك الوصخه ذي,1
عملاءنا الكرام.. حرصاً على سلامتكم فإن #مطاعم_ركن_الوليمة قد اتخذت الإجراءات الإحترازية التالية: مع تمنياتنا لكم ولوطننا الغالي دوام الصحة والعافية  #فيروس_كورونا  #خلك_أذكى LINK,0
#وزارة_الصحة: تسجيل ١١٩ حالة جديدة بفيروس #كورونا. #السعودية LINK,0
#أمانة_منطقة_الرياض تبدأ بتوزيع معقمها مجانًا في ٢٥ موقعًا داخل المدينة شملت الإشارات المرورية وعددًا من الجهات الحكومية، وذلك في إطار الجهود الاحترازية لمنع انتشار فيروس #كورونا المستجد. LINK,0
@USER قولت اي ي كورونا😉,0
سبحان من جعل (شي لا يُرى) يخلينا نحس بلذّة النّعم اللي كنا عايشين فيها واصلاً وقتها ما كنا حاسين💔 . . . عقب انتهاء #فيروس_كورونا باذن الله .. استمتع بالشي الجميل المُتاح لك .. وارجع قدّر العلاقات اللي خسرتها .. و اوزن ردّات فعلك مع البشر . . الحياة ابسط من واجد تعقيدات,0
RT @USER مليون شكراً .. انتم الأبطال في الحرب على #كورونا. LINK,0
"#فْْْيديو 🔴 أول متشافٍ من فايروس #كورُُُونا في #السعْْْْودية ""حسن الصيرفي"" في أول لقاء تلفزيوني ""لم أفصح عن وجودي في #إيرانْْ خوفاً من العقوبات.. والحكومة بقرار تعليق العقوبات ساهمت بنصف الشفاء"".  . LINK",0
لماذا عندما انتشر الكورونا في الصين توقفت كل دول العالم عن شراء البضائع الصينية عبر موقع اكسبرس الصيني الشهير المرادف لموقع امازون الامريكي، لكن هل توقفت شعوب العالم عن استيراد البضائع الامريكية بعد انتشار كورونا في امريكا واعلان حالة الطوارئ ام انه زاد؟,0
للوقاية من كورونا بعد الله سبحانه وتعالى انشرو الصوره للكل واحفظوها عندكم حفظكم الله من اي مكروه #كرونا_الجديد #السعوديه #فيروس_كورونا LINK,0
RT @USER #العفو_عن_السجناء_بسبب_كورونا ياااارب  يااااكريم يافااارج الهم ،،،,0
"المتحدثة باسم وزارة الخارجية الأميركية عبر ""تويتر"": نظريات المؤامرة حول #فيروس_كورونا التي يروجها #خامنئي ضارة وغير مسؤولة وخاطئة 100%  LINK",0
كيف نخاف من فيروس كورونا .. وعمر رضي الله عنه يقول(لو نزلت صاعقة ما اصابت مستغفرا) (اكثروا من الإستغفار) استغفر الله العظيم الذي لاإله الا هو الحي القيوم واتوب إليه 🌸,0
RT @USER شعب حي... الطليان يقيمون حفلاتهم من شرفاتهم أثناء العزل المنزلي 💃🏻💃🏻💃🏻💃🏻💃🏻💃🏻 #كورونا_ايطاليا 🇮🇹 LINK,0
#الفلبين تسجل ست حالات وفاة و 73 إصابة جديدة بفيروس #كورونا، كما سجلت #الصين 46 إصابة جديدة بالفيروس وست حالات وفاة. #واس_عام,0
"رغم أن الموضوع لايعجب البعض ويعتبره تدخل في إختصاصه, الا أن سرعة إنتشار كورونا وعدم التقدير من الكثير لخطورة الوضع, يجعلني أدعو مسئولي وزارة الصحة بفرض حظر تجول. لايوجد حل أخر.",0
احصائيات كورونا بالسعودية حتى اليوم الاثنين 3-16 50 مكة المكرمة 34 القطيف 22 الرياض 13 الشرقية 10 جدة 2 الأحساء 2 جازان ___________________ الإجمالي 133 عدد المتشافين 6 الله يسهل الأمور في القادم,0
فتاة أمريكية تشارك خبر خطوبتها مع جدّها المحجور صحياً في صورة تحمل العديد من المشاعر 💔  . #عيد_الام #كورونا #خليك_بالبيت #انا_مع_حظر_التجول_الاجباري LINK,0
"#منظمة_الصحة_العالمية تعلن بدء أول تجربة لقاح منذ أن قدمت #الصين معلومات عن السلسلة الجينية لفيروس #كورونا قبل 60 يوما, والصين تعلن للمرة الأولى عدم تسجيل أي إصابة جديدة بالفيروس محلية المصدر. LINK #واس_عام",0
والله خايفة من الفاتحة من كثر الا سلموا عليي ان وياهم كورونا الله لايقولها💔💔,0
RT @USER 🛑🛑تنويه 🛑🛑 أي صيدلية ترفع سعر الكمامات والمعقمات والاشياء هذي بلغوا عليها وزارة التجارة #كورونا_السعوديه,0
#الصحة تعلن عن تسجيل ١٧ حالة إصابة جديدة بفيروس #كورونا الجديد (كوفيد١٩) : - الحالة الأولى لمواطن كان مخالطًا لحالة مصابة أعلن عنها سابقاً، وهو معزول في منشأة صحية في مدينة الرياض. - الحالة الثانية لمقيم قادم من البرتغال عبر تركيا، وتم عزله في منشأة صحية في مدينة الرياض.,0
وافقت إدارة الغذاء والدواء الأمريكية (FDA) على أول اختبار تشخيصي سريع لفيروس كورونا مع وقت كشف يبلغ 45 دقيقة، وقالت الشركة المطورة التي تتخذ من كاليفورنيا مقراً لها أنها تلقت تفويضًا بالاستخدام الطارئ من (FDA) للاختبار الذي سيتم استخدامه بشكل أساسي في المستشفيات وغرف الطوارئ. LINK,0
"فيروس أرعب كل شعوب الأرض !! فكيف الحال """"إذا رُجت الأرضُ رجَاً ، وبُست الجبالُ بساً ، فكانت هباءً منبثَاً""""💔 #فيروس_كورونا #فيروس_كورونا_الجديد",0
أبواق اميركا فلتانة ما في غير كورونا يضبها #كورونا,1
مناعتي وهي تحارب كورونا LINK,0
⛔️توعية⛔️ . عندما يدعو العلماء لوقف صلاة الجمعة والجماعة فلحرصهم على مصلحة المسلمين وعندما يدعو الليبرالي لوقف صلاة الجمعة والجماعة فلحرصه على هدم الدين كاشفينكم وعارفينكم #كورونا,1
بعد حزم السعودية، ومواجهة كورونا. الجميع استنكر علينا ذلك، وشددُّوا وتشدقوا، وسألوا وتسائلوا، وبعد ايام قليلة، وأسابيع معدوده، السعودية تتصدر القائمة العالمية، كأفضل دولة تعاملت مع هذا الفايروس. تحذيرات، توجيهات، رغم الخسائر المادية، إلا انها آثَرت سلامة المواطنين، وصحة الشعب.,0
@USER @USER وتقلك مقدرش ع لندن في كورونا 🙊😂,0
RT @USER #المجمعه مبادره طيبه من اسواق بنده بمحافظة المجمعة توزيع قفازات على المتسوقين عشان كورونا LINK,0
في ناس وظيفتهم يمشو عكس التيار .. أيام الوضع طبيعي كل توجههم بلايستيشن وافلام ومسلسلات ويحثو في الناس عالوحدة ونبذ الحياة الاجتماعية .. ومع أزمة كورونا والقعدة ببيتك أصبحت إلزامية تلقاهم مخالفين العادة وفجأة عجبتهم حياة الخروجات والاختلاط ويشكو من الملل ..,1
#البدون في الصفوف الأمامية دائما  في ١٩٦٢ وقفوا مع ابناء الشعب في وجه عبدالكريم قاسم  في ١٩٨٥ كانوا في مقدمة موكب حماية الشيخ جابر رحمه الله ونالوا الشهادة  في ١٩٩٠ كانوا وجها لوجه امام الغزاة  وهاهم في ٢٠٢٠ الأطباء البدون في الصفوف الأمامية بمواجهة كورونا  لله دركم,0
جماعة في حالة بنت ١٦ سنة مشتبه فيها انها كورونا في اسكندرية وحالتها بتدهور ومحجوزة في العناية وحاولوا يتواصلوا بوزارة الصحة عشان يتعملها تحليل يأكد أو ينفي الموضوع والوزارة رفضت بحجة ان مبيتعملش لأي حد مكنش مسافر والبنت حالتها بتسوء بسرعة غريبة وأهلها مش عارفين يعملوا حاجة !!,0
#كورونا_السودان أكذب معلومة جاية من الواتس👇 فايروس كورونا قبل لايوصل الى الرئة يبقى في الحنجرة أربعة أيام وفي هذا الوقت يبدأ الشخص بالگحة والم الحنجرة فاذا شرب ماء كثير وغرغرة بالماء والملح او الخل يقضي على الفايروس انشر هذه المعلومات لانه يمكنك ان تنقذ احدا بهذه المعلومة .,0
اللهم اجعل كل بلاد المسلمين آمنة مطمئنة ﴿ رَبِّ اجْعَلْ هَٰذَا الْبَلَدَ آمِنًا ﴾   اللهم ارفع عنا البلاء والوباء والمِحن  اللهم إنّا نعوذُ بك من البرص والجنونِ والجُذام وسيء الأسقام  قولوا آميييين ... #كورونا #فيروس_كورونا #Corona,0
RT @USER مش هنسلم مش هنبوس مش هننشُر الفيروس.🤣🤣🤣🤣🤣 #كورونا LINK,0
RT @USER @USER @USER #كورونا_كشف_القناع #الصرخي_يغرد_ولايةالفقيه_ولايةالطاغوت #ولايه_الطاغوت_مخدرات_انحلال,1
#كلمه_تقوله_حق_الاطباء_البدون  البدون ابناء هذا الوطن ونحن البدون مستعدون حق كل شي من اجل الوطن  #خالد_كورونا LINK,0
"كإجراء وقائي لمنع إنتشار كورونا .. . . هل تؤيد إلزام المطاعم والكافيهات بعدم استقبال عملائها في الداخل؟ والاكتفاء بأخذ الطلبات سفري ""تيك أواي"". . . #حظر_التجول #كورونا_الجديد #كورونا #هام #فيروس_كورونا #الصحة . . LINK",0
#تعليق_الدراسه_عمان #كورونا السلام عليكم ورحمة الله وبركاته نظرا لصعوبة الإجراءات عند الهجرة والجمارك في بعض الدول قد لا يعود بعض المبتعثين إلى ديارهم في فصل الصيف وخاصة من ينوون دراسة الفصل الصيفي. لذلك وجب منكم مراعاة ذلك وخاصة من الأهالي الذين ينتظرون أبناءهم بفارغ الصبر.,0
RT @USER *کورونا وائرس(تقدیر اور تدبیر)* *14/03/2020* @USER @USER @USER LINK,0
فيديو | علامات استفهام على ثلاثة رحلات متتالية ومجهولة سيرتها الخطوط الليبية إلى #تركيا يوم أمس الجمعة رغم وقف الرحلات بسبب #فيروس_كورونا . #المرصد #ليبيا LINK,0
"#كورونا اختبر قوة إيمانك وصحة يقينك: عن عثمان بن عفان قال: سمعت رسول الله صلى الله عليه وآله وسلم يقول: "" ما من عبد يقول في صباح كل يوم، ومساء كل ليلة باسم الله الذي لا يضر مع اسمه شيء في الأرض ولا في السماء، وهو السميع العليم ثلاث مرات فيضره شيء ."" حديث صحيح رواه الترمذي وغيره.",0
RT @USER إجراءات احترازية وقائية اتخذتها المملكة لمنع وصول فيروس #كورونا_الجديد (19-COVID) وانتشاره: LINK,0
RT @USER الجمعية الطبية في الصين: بعض الحالات تعافت من المرض، ثم تبين لاحقا انها أصيبت بالمرض من جديد... كورونا كوفيد-١٩,0
@USER تفشي فايروس كورونا وزيادة المصابين السبب القادمون من الخارج وخاصة من عدوكم اللدود تركيا وايران يرسلون لكم ناس منهم مصابين بهذا الفايروس الخطير  فاحذروهم احذروهم وركزو على القادمين من خارج السعوديه سواء من دويلات الجوار او غيرها,0
ترامب يعلن حالة الطواري فى الولايات المتحدة، معنى ذلك ان الوضع خطير ولايوجد اى حلول او إجراءات قبل الوصول لهذه المرحلة لمواجهة كورونا، اليوم الأرقام تسارعت فى إيطاليا وقطر والولايات المتحدة.,0
#كورونا_الجديد LINK,0
"اللاعب ""حسين عبدالغني"" صرح في بيان تسخيره جميع كوادر شركته لخدمة الوطن في ظل أزمة كورونا، والمغردون يُشيدون بمبادرته في ظل الأزمه الراهنه. #حسين_عبدالغني LINK",0
RT @USER فلسطيني مصاب بفيروس كورونا، يتحدث عن طبيعة الوباء، وتجربته مع الحجر الصحي LINK,0
RT @USER الأسطورة ليو ميسي : تجنب لمس عينك وانفك و وجهك حتى لا يدخل فيروس كورونا إلى جسمك LINK,0
RT @USER البصرة .. أسمع الثوار يا كورونا بلكت تسيّر على الباكونا #العراق_ينتفض LINK,0
"#المتحدث_العسكرى : القوات المسلحة تعاون جامعة القاهرة لتنفيذ كافة الإجراءات الوقائية والإحترازية لمجابهة فيروس "" كورونا "" ... LINK",0
محلل قناة ٢٤ سعودي الفضائية د. عمر عبدالستار في برنامج نيران ايران : بقيت السعودية هي السعودية وبقي الخاسرون يعاندون البوصلة والهوية والسعودية و كل من عادى السعودية لم يسعد LINK  #كورونا,1
كوبونات خصم لأكبر المتاجر العربية لمواجه فيروس كورونا 😷 خليك في بيتك واشتري اون لاين كوبون نون ,1
الدكتور البريطاني فيرنون كولمان مؤلف ١٠٠ كتاب عن الأمراض والأوبئة يسأل دول العالم:  لماذا لم تعلنوا عن موت ١٦٢ ألف شخص في العالم من الانفلونزا العادية على مدى الثلاثة أشهر الماضية، بينما صدعتم رؤوسنا بالإعلان عن موت تسعة الاف فقط بسبب كورونا خلال الفترة ذاتها؟,0
ايطالي طلع معو كورونا خاف وهرب من المسشفى #زمن_الكورونا حول حياتنا لكوميديا سوداء😅 LINK,0
السعوديه فيها كورونا اااههرربوووو,0
RT @USER جده أمس👇 كورونا هي اللي جالسه في البيت😂😂 #الاحوال_المدنيه_كرونا LINK,0
تشعرون بالخوف من استقبال البضائع والرسائل من #الصين بعد انتشار فيروس #كورونا؟ شاهدوا هذا الفيديو الذي نشرته #وزارة_الصحة_ووقاية_المجتمع #الإمارات @USER #كوفيد_19 #COVID2019 #Coronavid19 #COVID_19 #CoronaVirusUpdate #Wuhan #كورونا_الجديد #البيان_القارئ_دائما LINK,0
من السابق لأوانه مقارنة كورونا بتلك الجوائح التاريخية،والخبر السار أن نسبة الوفاة منخفضة جدًا،98 بالمئة من الأشخاص تماثلوا للشفاء من كورونا! كونوا متفائلين🌹,0
RT @USER الوزير الألماني يرفض مصافحة ميركل والسبب تعرفونه .. كورونا,0
@USER اللي مافهم ،، هذا خط رحلة المواطن التركي: كان في مكة (قبل سنة وست شهور) - الصين - ايطاليا - ايران - المانيا - ثم رجع لاسطنبول امس بس الاناضول ماشافت من هذا الخط إلا مكة رغم ان العمرة اصلاً موقفة اول مااعلن عن كورونا بس مكة يعني مكة اهم شي اتهم السعودية,0
عندما كنا في وقت حساس وخطير وكلاً قام يفتي من راسه…الدولة اصدرت قرار بحصر الفتوى في النوازل على هيئة كبار العلماء حنا الآن في وقت حساس وخطير ونحتاج قرار بحصر التوعية الصحية عن كورونا على ناس مصرحين ومتخصصين بالتعاون مع وزارة الصحة…مهو وقت شهرة وتسلق ومعلومات قاتلة,1
⠀⠀⠀ السكان في مدينة صقلية الإيطالية يتشاركون الموسيقى بمحاولة لكسر العزلة و #الحجر_المنزلي المفروض بسبب فيروس #كورونا 🎺🥁 ⠀⠀⠀ LINK,0
@USER ترا كورونا نسبة الموت منه ثلاثه بالميه بس,0
عااااجل - مصر تسجل أول حالة وفاة لفيروس كورونا، لسيدة مصرية تبلغ من العمر 60 عامًا من محافظة الدقهلية. LINK,0
🚨- الرياضية | إحترازاً من كورونا ، إدارة النصر تبدأ بتعقيـم مرافق النادي 3 مرات يومياً ، وتوقف نظام البصمة . LINK,0
@USER كورونا بيذبحنا وانت للحين ماعلمتنا منهي ؟؟ وبوديهم لسيف الاملح وكلام كبير واخرتك الله يستر عليها !!! هذا كلام بالله 😏 شكلهم سحروك وكليت تبن,1
RT @USER وزارة الصحة تحذر من فرق مزيفة تزعم تعقيم المنازل من فيروس كورونا LINK,0
بابا الفاتيكان يعلن دعمه للمصابين بفيروس #كورونا,0
النظام الإيراني يتحدث عن وصول عدد الوفيات إلى 107 بفيروس كورونا وعدد الإصابات المؤكدة وصل الى 3513 حالة.  هذا التصريح الرسمي إضربه ب ١٠ لتعرف النتيجة الحقيقية. #جيري_ماهر,1
تقول دراسة جديدة إن بإمكان فيروس #كورونا الذي تحول إلى جائحة عالمية أن يبقى حياً ومعدياً في الرذاذ المتطاير في الهواء لعدة ساعات وعلى الأسطح لعدة أيام. LINK,0
RT @USER وفاة 2 في ولاية فلوريدا الأميركية بسبب فيروس كورونا #العربية_عاجل LINK,0
"RT @USER ""#الصحة"": المواطنات السعوديات المصابات بفيروس #كورونا_الجديد سيتم علاجهن في البحرين.",0
@USER كلنا ضد كورونا,0
RT @USER تزايد حالات الشفاء(في أنحاء متعددة حول العالم) من فيروس #كورونا LINK,0
مؤتمر صحفي قبل قليل لخلية الأزمة الحكومية الخاصة بمتابعة إجراءات الوقاية من فيروس #كورونا في #بغداد وفيها تصافح وزيرا صحة العراق والاقليم مرتين في هذا التجمع الخالي من الكمامات والقفازات الصحية .. فكيف هي الوقاية ؟ LINK,0
قرارات تتوالى بشأن فيروس #كورونا، نسأل الله أن يديم علينا العافية والسلامة والأمان، تبذل حكومتنا الرشيدة بكامل قطاعتها جهوداً عظيمة، الصحة تعالج والتعليم يعلق ويعطي البدائل عن بعد والداخلية تحظر السفر مؤقتاً والبلديات تحظر المسببات لانتقال المرض، بارك الله في جهودهم 🇸🇦,0
بالله كيف تتعامل مع هذه العقول تكلمه عن تبرير غبي لنظام #الدوحة لسبب انتشار #كورونا في #قطر فيرد عليك فتحوا لنا الفنادق والمنتجعات🤦,1
مجموعة 24 سعودي الاعلامية ومن منطلق واجبها الوطني تطلق حملة #معا_سنهزم_الكورونا ✌️ شارك معنا واحمي وطنك ..  🎞 شاهد مذيع قناة 24 الرياضية محمد الدرع .. ونصائح عامة للوقاية من عدوى #كورونا LINK,0
RT @USER اللهم إني استودعك بلادنا عُمان من الأمراض والأوبئة واجعلها في حفظك وأنت خير الحافظين. #كورونا LINK,0
#المغرب تسجيل 77 حالة إصابة مؤكدة ب #فيروس_كورونا الى حدود الساعة (حصيلة جديدة)  Bilan actualisé. 77 cas confirmés au #Maroc #coronavirus #COVID19 LINK,0
@USER @USER كورونا,0
فيديو متداول بمواقع التواصل الاجتماعي الإيرانية يظهر فيه معممين في مدينة #قم يقومون بتعقيم السيارات من فيروس #كورونا بطريقة غير منتظمة LINK,1
RT @USER #العفو_عن_السجناء_بسبب_كورونا السجناء الدين ،،، ينتظروووونااا ،،، هيا نوصل اصواااتهم  هياااا نساااااعدهم,0
"حساب السيد @USER مؤسس علي بابا 🇨🇳 و أغنى رجل في آسيا حاليا بتويتر ، السيد /جاك قام بالتبرع لمكافحة فيروس كورونا بـ🇺🇸 بعدد 500,000 وسيلة اختبار و عدد 1 مليون كمامة . LINK",0
اخبار المتماثلين للشفاء من #كورونا في #العراق مفرحة لكني اعتقد انها غير واقعية. حضانة الفايروس شهر كامل تقريباً وكذلك مرحلة الشفاء.,0
في الوقت الذي يؤدي فيه الجيش الصيني التحية للأطباء،ويصفق الناس من شرفاتهم للكوادر الطبية،وينحني البشر احتراماً للعلماء.. في مصر يقبع أستاذ علم الفيروسات د وليدمرسي السنوسي مع آخرين في المعتقلات،الدكتور السنوسى اخترع دواء للسرطان وتم اعتماده أيضاً في بروتوكول علاج كورونا! LINK,0
"""كورونا لا يصيب المؤمنين"".. صراع بين المرجعيات العراقية حول صلاة الجماعة والزيارات للتنويه... هناك فرق بين المؤمن والمسلم LINK",0
الله يحفظ هذا البلد ويجعله آمن 💚💚 #السعودية #كورونا,0
"رجل الأعمال فهد الاربش منذ بداية أزمة ""كورونا"" وهو يقدم الوجبات الغذائية والمعونة الى أفراد الطاقم الطبي في جميع المستشفيات ولم يكتفي بذلك فقط بل قدم ورود بداخلها سبائك ذهب اهداء الى ابنائنا وبناتنا بالخط الأول .. بمثل فهد الاربش تفتخر الكويت LINK",0
@USER المفروض يصرف لهم بدل كورونا .. الطبيب اليوم هو خط الدفاع الاول مهمته كالجندي حماية الوطن والشعب بعد الله,0
RT @USER #الصحة تعلن عن تسجيل (٥١) حالة إصابة جديدة بفيروس #كورونا الجديد(كوفيد١٩). LINK,0
واحد مخدر مع القات يكلم صاحبه : افرض ان العالم اعتصد بسبب كورونا وما باقي مكان آمن إلا اليمن ؟ وجاءوا عندنا ، بتسعهم اليمن ؟ رد عليه صاحبه عادي... عنبعد المداكي #هههههههههههههههههههههههههههههههههههههههههههه 😹👌👻 #ماليش_دخل  🌸يسعد مسااااكم يا اضخم متابعيين 🌸,0
في كل ما يخص #كورونا_الجديد او ڤايروس #كوفيد_19 أرجوكم متابعة هذا الحساب @USER أرجوكم توقفوا عن خرافات الواتس اب فالكركم والقرنفل والثوم مجرد بهارات لطبخات نحبها ولا يمكن أن تكون علاج لڤايروس تحول لجائحة عالمية أرجوكم أرجوكم أرجوكم استودع الله #مرارتي .,0
RT @USER #موريتانيا — مراسل الحدث: تسجيل أول حالة إصابة بفيروس كورونا,0
"RT @USER #قطر تدخل في كارثة طبية كبرى في ظل نظام ""تميم"" وتعسفه ضد المرضى! #كورونا LINK",1
@USER @USER ما أدري أنا لي وقت مشغلتها فيه برنامج كورونا,0
RT @USER شفاء صينية عمرها 103 من فيروس كورونا خلال ٦ أيام. . #كورونا #الصين . LINK,0
RT @USER عاجل 🔴 . . #وزارة_الصحة #السعوديه تعلن عن أول إصابة بفيروس #كورونا الجديد لمواطن قادم من #إيران. . .,0
ثلاثة أشهر فقط من سنة 2020: - مئات آلاف الإصابات بفيروس كورونا. - عواصف تضرب مصر ودول الشام. - الملايير من الجراد يجتاح اليمن ودول شرق إفريقيا. -آلاف القردة تغزو تايلاند بحثا عن الطعام. - فراغ بيت الله الحرام من معتمريه. - انهيار أسعار البترول والبورصات . اللهم ألطف بنا يارب🤲 LINK,0
احلي تفسير سمعته لعدم التزام المصريين بالجلوس في المنزل 👈انت ازاي عاوز تقنع شعب كان ب يتجمع ويتلم علي خبير المفرقعات عشان يشوفه وهو بيفكك القنبله انه يتفادي فيروس وهو مش شايفه اصلا صعب شويه 😂😂  #كورونا #فيروس_كورونا,1
RT @USER ربّـنِآ كررريّمِ  #كورونا_سودت_عيشت_ابونا,0
RT @USER ننتظر البنوك في السعودية ؟ ؟ ؟ إحنا أفضل !!! #الدمام_الان #السعودية #كورونا #يارب_ارفع_عنا_البلاء LINK,0
#نزل_وزنك_اثناء_العزل_من_كورونا حصه كاملة لتمارين الكارديو المنزلية لحرق الدهون ورفع اللياقة نلعب 5 جلسات لكل تمرين… لرجال والنساء LINK,1
RT @USER سمو الأمير يأمر بتكريم العاملين بمواجهة فايروس كورونا,0
واعد ||صحة محافظة #المثنى: الحالة المصابة بفيروس #كورونا هي لامرأة ثلاثينية كانت في زيارة لمدينة #كربلاء مؤخراً وهي من سكنة قضاء #الخضر. LINK,0
#إيطاليا الطليان تحاصرهم كورونا في بيوتهم ويتحدونها بمحاولة نشر السعادة ولكن اليّ يقول: بابببا باببببا قاهرني بينشر كورونا  LINK,0
